Institute,Programme,GATE Registration Id,Candidate Category,GATE Score,Group Id,Allotted Seat Type
NIT Surathkal,Power & Energy Systems,EE20S53021063,Schedule Tribe (ST),311,G1,ST
NIT Surathkal,Signal Processing and Machine Learning,EE20S53029005,General,732,G1,OPEN
NIT Surathkal,Signal Processing and Machine Learning,EE20S52069004,General-EWS,681,G1,OPEN
NIT Surathkal,Signal Processing and Machine Learning,EE20S53024399,Other Backward Class (OBC-NCL),673,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE20S51407032,General-EWS,669,G1,EWS
NIT Surathkal,Signal Processing and Machine Learning,EE20S51402056,Other Backward Class (OBC-NCL),664,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE20S55024154,Other Backward Class (OBC-NCL),664,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE19S64037251,Other Backward Class (OBC-NCL),661,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE20S51302082,Other Backward Class (OBC-NCL),660,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE20S51409045,Other Backward Class (OBC-NCL),660,G1,OBC
NIT Surathkal,Signal Processing and Machine Learning,EE19S61405046,Schedule Caste (SC),488,G1,SC
NIT Surathkal,Signal Processing and Machine Learning,EE20S51408368,Schedule Tribe (ST),362,G1,ST
NIT Surathkal,VLSI Design,EE19S68029052,General,739,G1,OPEN
NIT Surathkal,VLSI Design,EE20S58010190,General,737,G1,OPEN
NIT Surathkal,VLSI Design,EE19S61419080,General,732,G1,OPEN
NIT Surathkal,VLSI Design,EE19S63030266,General-EWS,718,G1,EWS
NIT Surathkal,VLSI Design,EE19S66024277,Other Backward Class (OBC-NCL),686,G1,OBC
NIT Surathkal,VLSI Design,EE20S57116017,Schedule Caste (SC),507,G1,SC
NIT Surathkal,VLSI Design,EE20S51246410,Schedule Tribe (ST),353,G1,ST
